Tamanho,Guloso_Tempo,Guloso_Memoria,Backtracking_Tempo,Backtracking_Memoria
10,0.000047,0.523438,0.000237,12.212891
20,0.000131,1.374219,0.001420,123.349609
30,0.000182,2.180859,0.000619,33.246875
40,0.000139,78.295459,0.021710,537.148047
50,0.001765,1099.555176,0.136592,1521.422021
60,0.007465,1536.297266,0.183530,2224.865527
70,0.007168,2009.415576,0.473387,3074.182227
80,0.000739,140.308301,0.032904,552.158594
90,0.000844,10852.935791,1.634094,12855.431836
100,0.001401,8551.871582,1.961076,25231.183398
110,0.016463,6328.006396,0.698658,6997.199219
120,0.000731,2146.905859,0.160907,2216.585156
130,0.006577,10566.282324,5.919293,68056.963672
140,0.006184,5507.482666,8.541157,80900.031641
150,0.001073,8211.449268,10.355164,161675.655273